ID,X(cm),Y(cm),Z(cm)
1,-320,1760,0
2,-480,1760,0
3,-640,1760,0
4,-720,1680,0
5,-720,1520,0
6,-720,1360,0
7,-720,1200,0
8,-720,1040,0
9,-720,880,0
10,-720,720,0
11,-720,560,0
12,-720,400,0
13,-480,240,0
14,-320,160,0
15,-160,80,0
16,0,0,0
17,160,0,0
18,320,0,0
19,480,0,0
20,640,0,0
21,800,0,0
22,960,0,0
23,1120,0,0
24,1280,0,0
25,1440,0,0
26,1600,0,0
27,1760,0,0
28,1920,0,0
29,2080,80,0
30,2240,160,0
31,2400,240,0
32,2560,240,0
33,2720,240,0
34,2800,320,0
35,2880,400,0
36,2960,400,0
37,2960,480,0
38,2960,640,0
39,2960,800,0
40,2960,960,0
41,2960,1120,0
42,2960,1280,0
43,2960,1440,0
44,2960,1520,0
45,2880,1600,0
46,2720,1600,0
47,2560,1600,0
48,2400,1600,0
49,2240,1600,0
50,2080,1600,0
51,-320,1600,0
52,-480,1600,0
53,-560,1520,0
54,-560,1360,0
55,-560,1200,0
56,-560,1040,0
57,-560,880,0
58,-560,720,0
59,-560,560,0
60,-560,400,0
61,-480,400,0
62,-320,320,0
63,-160,240,0
64,0,160,0
65,160,160,0
66,320,160,0
67,480,160,0
68,640,160,0
69,800,160,0
70,960,160,0
71,1120,160,0
72,1280,160,0
73,1440,160,0
74,1600,160,0
75,1760,160,0
76,1920,160,0
77,2080,240,0
78,2240,320,0
79,2400,400,0
80,2560,400,0
81,2720,400,0
82,2800,480,0
83,2800,640,0
84,2800,800,0
85,2800,960,0
86,2800,1120,0
87,2800,1280,0
88,2800,1440,0
89,2720,1440,0
90,2560,1440,0
91,2400,1440,0
92,2240,1440,0
93,2080,1440,0
94,3120,1840,0
95,3120,2000,0
96,3120,2160,0
97,3120,2320,0
98,3120,2480,0
99,3120,2640,0
100,3120,2800,0
101,3120,2960,0
102,3120,3120,0
103,3120,3280,0
104,3120,3440,0
105,3120,3600,0
106,3120,3760,0
107,3120,3920,0
108,3120,4080,0
109,3120,4240,0
110,3280,1840,0
111,3280,2000,0
112,3280,2160,0
113,3280,2320,0
114,3280,2480,0
115,3280,2640,0
116,3280,2800,0
117,3280,2960,0
118,3280,3120,0
119,3280,3280,0
120,3280,3440,0
121,3280,3600,0
122,3280,3760,0
123,3280,3920,0
124,3280,4080,0
125,3280,4240,0